age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,plays,previous,poutcome,cons.price.idx,cons.conf.idx,nr.employed,y
41,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1575,1,999,0,nonexistent,93.994,-36.4,5191,yes
49,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,1042,1,999,0,nonexistent,93.994,-36.4,5191,yes
49,technician,married,basic.9y,no,no,no,telephone,may,mon,1467,1,999,0,nonexistent,93.994,-36.4,5191,yes
41,technician,married,professional.course,unknown,yes,no,telephone,may,mon,579,1,999,0,nonexistent,93.994,-36.4,5191,yes
45,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,461,1,999,0,nonexistent,93.994,-36.4,5191,yes
42,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,673,2,999,0,nonexistent,93.994,-36.4,5191,yes
39,housemaid,married,basic.9y,no,yes,no,telephone,may,mon,935,3,999,0,nonexistent,93.994,-36.4,5191,yes
28,unknown,single,unknown,unknown,yes,yes,telephone,may,tue,1201,1,999,0,nonexistent,93.994,-36.4,5191,yes
44,services,married,high.school,no,yes,no,telephone,may,tue,1030,1,999,0,nonexistent,93.994,-36.4,5191,yes
42,technician,married,professional.course,no,no,no,telephone,may,tue,1623,1,999,0,nonexistent,93.994,-36.4,5191,yes
42,management,married,university.degree,no,no,no,telephone,may,tue,1677,1,999,0,nonexistent,93.994,-36.4,5191,yes
39,services,married,high.school,unknown,yes,no,telephone,may,tue,918,1,999,0,nonexistent,93.994,-36.4,5191,yes
42,blue-collar,married,high.school,no,no,yes,telephone,may,tue,1297,3,999,0,nonexistent,93.994,-36.4,5191,yes
45,housemaid,married,professional.course,unknown,yes,no,telephone,may,tue,1597,2,999,0,nonexistent,93.994,-36.4,5191,yes
31,admin.,single,university.degree,no,no,no,telephone,may,wed,992,1,999,0,nonexistent,93.994,-36.4,5191,yes
28,student,single,basic.9y,unknown,yes,yes,telephone,may,wed,732,2,999,0,nonexistent,93.994,-36.4,5191,yes
41,entrepreneur,married,university.degree,no,yes,no,telephone,may,wed,1138,1,999,0,nonexistent,93.994,-36.4,5191,yes
37,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,wed,591,1,999,0,nonexistent,93.994,-36.4,5191,yes
44,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,786,1,999,0,nonexistent,93.994,-36.4,5191,yes
44,entrepreneur,married,basic.4y,unknown,no,no,telephone,may,wed,1574,2,999,0,nonexistent,93.994,-36.4,5191,yes
54,admin.,divorced,university.degree,no,no,no,telephone,may,wed,1689,4,999,0,nonexistent,93.994,-36.4,5191,yes
42,services,married,professional.course,no,yes,no,telephone,may,thu,813,1,999,0,nonexistent,93.994,-36.4,5191,yes
46,blue-collar,single,basic.9y,no,yes,no,telephone,may,thu,541,3,999,0,nonexistent,93.994,-36.4,5191,yes
32,blue-collar,married,professional.course,no,no,no,telephone,may,thu,1119,1,999,0,nonexistent,93.994,-36.4,5191,yes
43,technician,single,university.degree,no,yes,no,telephone,may,thu,1120,2,999,0,nonexistent,93.994,-36.4,5191,yes
54,admin.,married,university.degree,no,no,no,telephone,may,thu,513,1,999,0,nonexistent,93.994,-36.4,5191,yes
50,technician,married,high.school,no,yes,no,telephone,may,thu,756,1,999,0,nonexistent,93.994,-36.4,5191,yes
31,services,married,basic.6y,no,no,no,telephone,may,thu,2087,2,999,0,nonexistent,93.994,-36.4,5191,yes
51,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,thu,1178,2,999,0,nonexistent,93.994,-36.4,5191,yes
31,entrepreneur,divorced,high.school,no,yes,no,telephone,may,thu,1120,2,999,0,nonexistent,93.994,-36.4,5191,yes
41,services,divorced,high.school,no,yes,no,telephone,may,thu,985,2,999,0,nonexistent,93.994,-36.4,5191,yes
32,unknown,unknown,university.degree,no,no,no,telephone,may,fri,617,4,999,0,nonexistent,93.994,-36.4,5191,yes
33,services,married,high.school,unknown,no,no,telephone,may,fri,483,3,999,0,nonexistent,93.994,-36.4,5191,yes
38,management,married,basic.9y,unknown,no,no,telephone,may,fri,772,1,999,0,nonexistent,93.994,-36.4,5191,yes
60,housemaid,married,high.school,unknown,no,no,telephone,may,fri,929,3,999,0,nonexistent,93.994,-36.4,5191,yes
35,blue-collar,married,professional.course,no,yes,yes,telephone,may,fri,710,1,999,0,nonexistent,93.994,-36.4,5191,yes
33,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,fri,1132,2,999,0,nonexistent,93.994,-36.4,5191,yes
51,blue-collar,married,basic.9y,no,no,yes,telephone,may,fri,653,1,999,0,nonexistent,93.994,-36.4,5191,yes
24,services,single,high.school,no,yes,no,telephone,may,fri,654,1,999,0,nonexistent,93.994,-36.4,5191,yes
32,admin.,married,university.degree,no,no,yes,telephone,may,fri,1692,2,999,0,nonexistent,93.994,-36.4,5191,yes
43,admin.,married,university.degree,unknown,yes,no,telephone,may,fri,2016,2,999,0,nonexistent,93.994,-36.4,5191,yes
44,blue-collar,single,basic.6y,unknown,yes,no,telephone,may,fri,665,2,999,0,nonexistent,93.994,-36.4,5191,yes
59,management,married,university.degree,no,no,no,telephone,may,mon,460,5,999,0,nonexistent,93.994,-36.4,5191,yes
24,services,single,high.school,no,no,no,telephone,may,mon,757,2,999,0,nonexistent,93.994,-36.4,5191,yes
39,admin.,married,university.degree,no,no,no,telephone,may,mon,744,6,999,0,nonexistent,93.994,-36.4,5191,yes
41,admin.,single,unknown,no,yes,yes,telephone,may,mon,1111,3,999,0,nonexistent,93.994,-36.4,5191,yes
39,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,504,4,999,0,nonexistent,93.994,-36.4,5191,yes
32,admin.,single,university.degree,unknown,no,no,telephone,may,tue,1346,1,999,0,nonexistent,93.994,-36.4,5191,yes
33,management,married,basic.4y,no,yes,yes,telephone,may,tue,568,4,999,0,nonexistent,93.994,-36.4,5191,yes
38,management,married,basic.9y,no,yes,no,telephone,may,tue,1000,1,999,0,nonexistent,93.994,-36.4,5191,yes
35,admin.,single,high.school,no,yes,yes,telephone,may,tue,618,1,999,0,nonexistent,93.994,-36.4,5191,yes
38,blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,2231,1,999,0,nonexistent,93.994,-36.4,5191,yes
38,blue-collar,single,university.degree,unknown,yes,no,telephone,may,tue,395,2,999,0,nonexistent,93.994,-36.4,5191,yes
38,technician,single,university.degree,no,no,no,telephone,may,tue,1015,1,999,0,nonexistent,93.994,-36.4,5191,yes
30,technician,married,university.degree,no,yes,no,telephone,may,tue,683,2,999,0,nonexistent,93.994,-36.4,5191,yes
51,admin.,single,basic.6y,no,no,no,telephone,may,tue,470,1,999,0,nonexistent,93.994,-36.4,5191,yes
31,services,married,basic.6y,unknown,no,no,telephone,may,tue,1001,4,999,0,nonexistent,93.994,-36.4,5191,yes
45,technician,married,university.degree,no,yes,yes,telephone,may,tue,845,1,999,0,nonexistent,93.994,-36.4,5191,yes
36,admin.,married,high.school,no,no,no,telephone,may,tue,753,6,999,0,nonexistent,93.994,-36.4,5191,yes
31,services,married,basic.9y,no,no,no,telephone,may,tue,945,2,999,0,nonexistent,93.994,-36.4,5191,yes
45,entrepreneur,married,university.degree,no,yes,no,telephone,may,tue,1721,2,999,0,nonexistent,93.994,-36.4,5191,yes
51,admin.,married,basic.4y,unknown,yes,no,telephone,may,wed,942,3,999,0,nonexistent,93.994,-36.4,5191,yes
38,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,wed,476,1,999,0,nonexistent,93.994,-36.4,5191,yes
41,technician,married,high.school,no,yes,no,telephone,may,wed,832,1,999,0,nonexistent,93.994,-36.4,5191,yes
27,admin.,single,high.school,no,yes,no,telephone,may,wed,1328,1,999,0,nonexistent,93.994,-36.4,5191,yes
37,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,1125,2,999,0,nonexistent,93.994,-36.4,5191,yes
33,unemployed,divorced,basic.9y,no,no,no,telephone,may,wed,1321,2,999,0,nonexistent,93.994,-36.4,5191,yes
33,blue-collar,married,high.school,no,no,no,telephone,may,wed,858,1,999,0,nonexistent,93.994,-36.4,5191,yes
35,student,married,university.degree,no,yes,no,telephone,may,wed,629,2,999,0,nonexistent,93.994,-36.4,5191,yes
40,blue-collar,married,high.school,no,no,no,telephone,may,wed,1028,2,999,0,nonexistent,93.994,-36.4,5191,yes
40,blue-collar,married,basic.6y,no,yes,no,telephone,may,wed,927,1,999,0,nonexistent,93.994,-36.4,5191,yes
36,technician,married,professional.course,no,no,no,telephone,may,wed,1423,3,999,0,nonexistent,93.994,-36.4,5191,yes
35,housemaid,married,basic.4y,no,no,no,telephone,may,thu,646,3,999,0,nonexistent,93.994,-36.4,5191,yes
32,services,married,basic.9y,no,no,no,telephone,may,thu,746,1,999,0,nonexistent,93.994,-36.4,5191,yes
42,services,divorced,basic.6y,no,yes,no,telephone,may,thu,1074,1,999,0,nonexistent,93.994,-36.4,5191,yes
45,admin.,married,high.school,no,yes,no,telephone,may,thu,695,1,999,0,nonexistent,93.994,-36.4,5191,yes
38,services,single,high.school,unknown,no,yes,telephone,may,thu,1257,3,999,0,nonexistent,93.994,-36.4,5191,yes
39,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,651,23,999,0,nonexistent,93.994,-36.4,5191,yes
45,self-employed,married,basic.6y,unknown,no,no,telephone,may,thu,734,1,999,0,nonexistent,93.994,-36.4,5191,yes
49,blue-collar,divorced,basic.4y,unknown,no,no,telephone,may,thu,920,2,999,0,nonexistent,93.994,-36.4,5191,yes
41,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,500,1,999,0,nonexistent,93.994,-36.4,5191,yes
30,admin.,married,university.degree,no,yes,no,telephone,may,thu,911,2,999,0,nonexistent,93.994,-36.4,5191,yes
53,technician,married,professional.course,unknown,yes,no,telephone,may,thu,920,2,999,0,nonexistent,93.994,-36.4,5191,yes
35,technician,married,unknown,unknown,no,no,telephone,may,thu,1224,2,999,0,nonexistent,93.994,-36.4,5191,yes
51,management,married,university.degree,unknown,no,yes,telephone,may,thu,1156,2,999,0,nonexistent,93.994,-36.4,5191,yes
33,blue-collar,divorced,basic.9y,unknown,no,no,telephone,may,thu,1867,6,999,0,nonexistent,93.994,-36.4,5191,yes
44,services,married,high.school,unknown,yes,no,telephone,may,thu,1263,2,999,0,nonexistent,93.994,-36.4,5191,yes
50,blue-collar,married,basic.9y,no,yes,no,telephone,may,thu,697,3,999,0,nonexistent,93.994,-36.4,5191,yes
30,admin.,single,high.school,no,no,yes,telephone,may,thu,892,4,999,0,nonexistent,93.994,-36.4,5191,yes
45,entrepreneur,married,university.degree,no,yes,yes,telephone,may,fri,515,1,999,0,nonexistent,93.994,-36.4,5191,yes
35,admin.,single,high.school,no,no,yes,telephone,may,fri,813,1,999,0,nonexistent,93.994,-36.4,5191,yes
29,blue-collar,single,high.school,no,yes,no,telephone,may,fri,803,1,999,0,nonexistent,93.994,-36.4,5191,yes
44,management,single,university.degree,unknown,yes,no,telephone,may,fri,844,1,999,0,nonexistent,93.994,-36.4,5191,yes
31,blue-collar,married,basic.6y,unknown,unknown,unknown,telephone,may,fri,676,1,999,0,nonexistent,93.994,-36.4,5191,yes
56,blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,fri,1252,1,999,0,nonexistent,93.994,-36.4,5191,yes
45,technician,married,university.degree,no,yes,no,telephone,may,fri,1143,3,999,0,nonexistent,93.994,-36.4,5191,yes
26,blue-collar,single,basic.9y,no,no,no,telephone,may,fri,688,1,999,0,nonexistent,93.994,-36.4,5191,yes
40,entrepreneur,married,university.degree,no,no,no,telephone,may,fri,803,1,999,0,nonexistent,93.994,-36.4,5191,yes
49,admin.,divorced,high.school,no,yes,no,telephone,may,fri,787,1,999,0,nonexistent,93.994,-36.4,5191,yes
26,admin.,single,high.school,no,no,no,telephone,may,fri,619,2,999,0,nonexistent,93.994,-36.4,5191,yes
